Issue Type,Summary,Description,Priority,Labels,Status,Story Points,Epic Link,External ID
Task,Upload bronze JSON files,"Upload generated JSON files to bronze/json paths and validate object names.

Detailed Steps: Use recursive commands and avoid overwriting unrelated paths.

Acceptance Criteria: JSON files are in GCS bronze.

Cost Note: Storage and operation charges apply.",High,gcs;bronze;json,To Do,2,E05,T031
Task,Create bronze manifest,"Generate a manifest with source file name, path, row count, checksum, format, and load timestamp.

Detailed Steps: Store manifest locally and in GCS bronze/manifests.

Acceptance Criteria: Bronze files are auditable.

Cost Note: No major cost.",Medium,gcs;bronze;qa,To Do,2,E05,T032
Task,Create single-node Dataproc cluster,"Create a short-lived single-node cluster with component gateway enabled and optional JupyterLab if desired.

Detailed Steps: Use small machine types and labels such as purpose=learning owner=jason.

Acceptance Criteria: Cluster starts successfully.

Cost Note: Delete when idle; compute costs can grow quickly.",High,dataproc;spark;cost,To Do,3,E06,T033
Task,Validate SSH from terminal,"Run gcloud compute ssh to connect to the Dataproc master node.

Detailed Steps: Exit and reconnect until the workflow is comfortable.

Acceptance Criteria: SSH works from VS Code terminal.

Cost Note: Cluster must be running.",High,dataproc;ssh;terminal,To Do,2,E06,T034
Task,Connect VS Code Remote SSH to Dataproc,"Configure Remote SSH target using gcloud-generated SSH config or direct host settings.

Detailed Steps: Open a remote VS Code window on the Dataproc node.

Acceptance Criteria: VS Code can edit files on the cluster.

Cost Note: Cluster must be running.",High,vscode;dataproc;ssh,To Do,3,E06,T035
Task,Clone repository on Dataproc,"Clone the GitHub repository on the cluster and checkout the working branch.

Detailed Steps: Validate git status and project files on the remote host.

Acceptance Criteria: Remote cluster has project code.

Cost Note: Cluster must be running.",High,github;dataproc,To Do,1,E06,T036
Task,Validate Spark shell and PySpark,"Run spark-sql --version and pyspark, then read a small bronze file from GCS.

Detailed Steps: Confirm Spark can access GCS without manual credential files.

Acceptance Criteria: Spark can read the raw lake path.

Cost Note: Cluster must be running.",High,spark;dataproc;gcs,To Do,2,E06,T037
Task,Open Spark UI through component gateway,"Find the Dataproc web interfaces and open Spark History Server or Spark UI.

Detailed Steps: Run a sample job and locate it in the UI.

Acceptance Criteria: You can inspect job stages and logs.

Cost Note: Cluster must be running.",Medium,dataproc;spark;ui,To Do,1,E06,T038
Story,Build bronze-to-silver schema reader,"Create Spark logic to read CSV and JSON bronze files with explicit schemas.

Detailed Steps: Avoid inferSchema for production-style code; put schemas in code or config.

Acceptance Criteria: Spark reads all source datasets with expected data types.

Cost Note: Cluster must be running for validation.",High,spark;silver,To Do,5,E07,T039
Task,Implement silver customers transformation,"Clean customer names, emails, dates, geography fields, and deduplicate by customer_id.

Detailed Steps: Write Parquet partitioned by load_date or customer_region if useful.

Acceptance Criteria: silver/customers path is clean and queryable.

Cost Note: Cluster must be running for validation.",High,spark;silver,To Do,3,E07,T040
Task,Implement silver products transformation,"Standardize product categories, prices, active flags, and effective dates.

Detailed Steps: Validate product_id uniqueness and nonnegative prices.

Acceptance Criteria: silver/products path is clean and queryable.

Cost Note: Cluster must be running for validation.",High,spark;silver,To Do,3,E07,T041
Task,Implement silver orders transformation,"Normalize order timestamps, statuses, customer references, and order dates.

Detailed Steps: Partition by order_date and reject invalid statuses into a quarantine path.

Acceptance Criteria: silver/orders path is clean and partitioned.

Cost Note: Cluster must be running for validation.",High,spark;silver,To Do,5,E07,T042
Task,Implement silver order_items transformation,"Validate item quantities, subtotal calculations, and product references.

Detailed Steps: Recalculate subtotal and flag mismatches for review.

Acceptance Criteria: silver/order_items path is clean and validated.

Cost Note: Cluster must be running for validation.",High,spark;silver,To Do,5,E07,T043
Task,Implement silver payments transformation,"Standardize payment methods, amounts, payment status, and timestamps.

Detailed Steps: Validate no successful negative payments unless intentionally generated as refunds.

Acceptance Criteria: silver/payments path is clean and typed.

Cost Note: Cluster must be running for validation.",Medium,spark;silver,To Do,3,E07,T044
Task,Implement silver shipments transformation,"Normalize carrier, tracking status, shipped_at, delivered_at, and delivery duration.

Detailed Steps: Flag impossible delivery dates into quarantine.

Acceptance Criteria: silver/shipments path is clean and typed.

Cost Note: Cluster must be running for validation.",Medium,spark;silver,To Do,3,E07,T045
Task,Implement silver clickstream transformation,"Flatten JSON event payloads and standardize event timestamps, event names, session ids, and device fields.

Detailed Steps: Partition by event_date.

Acceptance Criteria: silver/clickstream path is clean and partitioned.

Cost Note: Cluster must be running for validation.",Medium,spark;silver;json,To Do,5,E07,T046
Task,Create reusable Spark job entrypoint,"Create a parameterized PySpark job with arguments for source path, target path, run date, and environment.

Detailed Steps: Run it locally on Dataproc using spark-submit.

Acceptance Criteria: Job can run one dataset at a time using parameters.

Cost Note: Cluster must be running.",High,spark;dataproc,To Do,5,E07,T047
Task,Submit silver job through Dataproc Jobs,"Use gcloud dataproc jobs submit pyspark with parameters for each silver dataset.

Detailed Steps: Record job ids and logs.

Acceptance Criteria: Silver transformations run as managed Dataproc jobs.

Cost Note: Cluster must be running.",High,dataproc;spark;silver,To Do,3,E07,T048
Task,Validate silver outputs,"Use gcloud storage ls, spark-sql, and PySpark count checks to confirm output paths, partitions, row counts, and schema.

Detailed Steps: Compare against data quality expectations.

Acceptance Criteria: Silver layer passes checks.

Cost Note: Cluster must be running.",High,qa;silver,To Do,3,E07,T049
Task,Create BigQuery datasets,"Create datasets such as bronze_meta, silver_external, and gold_marts or a clean equivalent naming convention.

Detailed Steps: Set region to match GCS/Dataproc where possible.

Acceptance Criteria: BigQuery datasets exist.

Cost Note: BigQuery storage/query charges may apply.",High,bigquery;gold,To Do,1,E08,T050
Task,Create external tables over silver Parquet,"Create BigQuery external tables or BigLake-style references for silver Parquet paths.

Detailed Steps: Validate schema and partition pruning where available.

Acceptance Criteria: BigQuery can query silver data.

Cost Note: Query costs may apply.",High,bigquery;silver,To Do,3,E08,T051
Task,Design gold star schema,"Define dim_customer, dim_product, dim_store, dim_date, fact_order_item, fact_payment, fact_shipment, and aggregate marts.

Detailed Steps: Document grain and primary keys for each table.

Acceptance Criteria: Gold model has clear grain and relationships.

Cost Note: No major cost until data is materialized/queried.",High,bigquery;gold;design,To Do,3,E08,T052
Task,Build gold dimensions,"Use BigQuery SQL or Spark to populate customer, product, store, and date dimensions.

Detailed Steps: Include surrogate-key strategy or document why natural keys are acceptable for learning.

Acceptance Criteria: Dimension tables are queryable and documented.

Cost Note: Query/storage costs apply.",High,bigquery;gold,To Do,5,E08,T053
Task,Build gold fact tables,"Create fact_order_item, fact_payment, and fact_shipment from silver tables.

Detailed Steps: Validate joins and amounts.

Acceptance Criteria: Fact tables are at documented grain.

Cost Note: Query/storage costs apply.",High,bigquery;gold,To Do,5,E08,T054
Task,Build daily sales mart,"Aggregate revenue, order count, item count, customer count, and average order value by date, product, and store.

Detailed Steps: Compare totals to silver source data.

Acceptance Criteria: daily_sales_mart is ready for analysis.

Cost Note: Query/storage costs apply.",High,bigquery;gold,To Do,3,E08,T055
Task,Build fulfillment mart,"Aggregate shipped, delivered, delayed, and average delivery duration by carrier and date.

Detailed Steps: Validate delayed shipment logic.

Acceptance Criteria: fulfillment_mart is ready for analysis.

Cost Note: Query/storage costs apply.",Medium,bigquery;gold,To Do,3,E08,T056
Task,Build customer behavior mart,"Join sales and clickstream activity by customer/date where generated data supports it.

Detailed Steps: Calculate sessions, product views, purchases, and conversion rate.

Acceptance Criteria: customer_behavior_mart is ready for analysis.

Cost Note: Query/storage costs apply.",Medium,bigquery;gold,To Do,5,E08,T057
Task,Create validation SQL checks,"Write SQL checks for row counts, revenue reconciliation, null primary keys, duplicate keys, and invalid date ranges.

Detailed Steps: Store checks in sql/validation.

Acceptance Criteria: Gold layer has repeatable validation queries.

Cost Note: Query costs apply.",High,bigquery;qa,To Do,3,E08,T058
Task,Create analysis notebook or saved queries,"Create a small notebook or saved SQL file showing top products, revenue trends, and fulfillment performance.

Detailed Steps: Use only gold tables.

Acceptance Criteria: You can explain the business outputs of the pipeline.

Cost Note: Query costs apply.",Medium,bigquery;docs,To Do,2,E08,T059
Task,Create Cloud Composer environment,"Create a small Composer environment only when ready to orchestrate and delete it after the module if cost is a concern.

Detailed Steps: Record environment name, region, bucket, and Airflow UI URL.

Acceptance Criteria: Composer environment is available.

Cost Note: Composer can be costly; use carefully.",High,airflow;composer;cost,To Do,5,E09,T060
Task,Prepare local Airflow development folder,"Create dags folder and install or document compatible Airflow provider versions for local linting if needed.

Detailed Steps: Keep DAG code independent of hard-coded project ids where possible.

Acceptance Criteria: DAG source folder is ready.

Cost Note: Local setup no GCP cost.",High,airflow;vscode,To Do,2,E09,T061
Task,Create Airflow variables plan,"Define variables for project_id, region, bucket, dataproc_cluster, run_date, bronze_prefix, silver_prefix, and gold_dataset.

Detailed Steps: Create them in Airflow UI or via gcloud composer environments run.

Acceptance Criteria: DAG config is externalized.

Cost Note: No major extra cost.",High,airflow;config,To Do,2,E09,T062
Task,Build orchestration DAG skeleton,"Create DAG with logical task groups: precheck, bronze_validation, silver_processing, gold_processing, validation, notify_or_log.

Detailed Steps: Use clear task ids and dependencies.

Acceptance Criteria: DAG parses in Airflow UI.

Cost Note: Composer must be running.",High,airflow;dag,To Do,3,E09,T063
Task,Add bronze validation tasks,"Add BashOperator or PythonOperator tasks to check GCS object existence and manifest freshness.

Detailed Steps: Fail fast if required source files are missing.

Acceptance Criteria: Pipeline stops before Spark if bronze is incomplete.

Cost Note: Composer must be running.",High,airflow;bronze;qa,To Do,3,E09,T064
Task,Add Dataproc silver tasks,"Use Dataproc job operators or gcloud command tasks to submit silver PySpark jobs.

Detailed Steps: Pass dataset-specific arguments and run date.

Acceptance Criteria: Airflow can trigger silver Spark jobs.

Cost Note: Composer and Dataproc cost apply.",High,airflow;dataproc;silver,To Do,5,E09,T065
Task,Add BigQuery gold tasks,"Use BigQueryInsertJobOperator or bq commands to run gold SQL scripts in dependency order.

Detailed Steps: Parameterize project and dataset names.

Acceptance Criteria: Airflow can build gold tables.

Cost Note: Query costs apply.",High,airflow;bigquery;gold,To Do,5,E09,T066
Task,Deploy DAG to Composer bucket,"Copy DAG file to the Composer environment dags bucket using gcloud storage cp or gsutil cp.

Detailed Steps: Watch Airflow UI for import errors.

Acceptance Criteria: DAG appears without parse errors.

Cost Note: Composer must be running.",High,airflow;gcs,To Do,2,E09,T067
Task,Run DAG manually,"Trigger the DAG manually and monitor each task in Airflow UI.

Detailed Steps: Capture failed logs, fix config, and rerun as needed.

Acceptance Criteria: End-to-end DAG succeeds once.

Cost Note: Composer and Dataproc cost apply.",High,airflow;ops,To Do,3,E09,T068
Task,Add retry and alert behavior,"Set retries, retry delays, task-level timeouts, and failure logging.

Detailed Steps: Keep alerts simple for solo learning, such as Airflow logs and email if configured.

Acceptance Criteria: DAG has realistic operational controls.

Cost Note: No major extra cost.",Medium,airflow;ops,To Do,2,E09,T069
Task,Write architecture README,"Document the medallion architecture, GCS paths, Dataproc jobs, BigQuery datasets, and Airflow DAG.

Detailed Steps: Include a simple text diagram or Mermaid diagram.

Acceptance Criteria: A future reader can understand the project.

Cost Note: No GCP cost.",High,docs,To Do,2,E10,T070
Task,Create terminal command journal,"Maintain docs/terminal_journal.md with commands used for Git, Windows files, gcloud, GCS, Dataproc SSH, and Composer.

Detailed Steps: Group commands by module and explain placeholders.

Acceptance Criteria: You have a reusable command reference.

Cost Note: No GCP cost.",High,docs;terminal,To Do,2,E10,T071
Task,Create troubleshooting log,"Track errors, root cause, fix, and prevention notes from setup through orchestration.

Detailed Steps: Add at least one entry per module.

Acceptance Criteria: You build debugging memory as part of the project.

Cost Note: No GCP cost.",Medium,docs;qa,To Do,1,E10,T072
Task,Add unit-style validation scripts,"Create scripts that run local schema checks and SQL validation checks where practical.

Detailed Steps: Use simple CLI commands that can be repeated.

Acceptance Criteria: Core checks are not only manual.

Cost Note: Minimal local cost.",Medium,qa,To Do,3,E10,T073
Task,Create GitHub pull request workflow,"Open a PR from the learning branch to main with a checklist and summary of completed modules.

Detailed Steps: Review changes before merging.

Acceptance Criteria: You practice professional code review flow.

Cost Note: No GCP cost.",Medium,github,To Do,2,E10,T074
Task,Run final cost cleanup,"Delete Composer environment, Dataproc cluster, static IPs, unused buckets, temporary BigQuery tables, and any service-account keys.

Detailed Steps: Confirm billing dashboard after cleanup.

Acceptance Criteria: No idle costly resources remain.

Cost Note: Most important cost-control step.",High,cost;cleanup,To Do,2,E10,T075
Task,Review learning outcomes,"Map completed work to skills: Git, VS Code, GCS, Dataproc, Spark, BigQuery, Composer, data modeling, QA, and operations.

Detailed Steps: Update Jira statuses and write a short retrospective.

Acceptance Criteria: Project is ready for next iteration or portfolio polish.

Cost Note: No GCP cost.",Medium,planning;docs,To Do,1,E10,T076
